PROVINCIA,MUNICIPIO,FABRICANTE,MARCA,MODELO,TIPO,VARIANTE,VERSION,PROVINCIA_MATR,FECHA_MATR,FEC_PRIM_MATR,CLASE_MATR,PROCEDENCIA,NUEVO_USADO,TIPO_TITULAR,NUM_TITULARES,SUBTIPO_DGT,TIPO_DGT,CAT_EURO,CLAS_CONSTRUCCION,CLAS_UTILIZACION,SERVICIO,RENTING,TARA,PESO_MAX,MOM,MMTA,CILINDRADA,POTENCIA,KW,PROPULSION,CATELECT,CONSUMO,AUTONOMIA,ALIMENTACION,TIPO_DISTINTIVO,EMISIONES_EURO,EMISIONES_CO2,CARROCERIA,DISTANCIA_EJES,EJE_ANTERIOR,EJE_POSTERIOR,PLAZAS,PLAZAS_MAX,PLAZAS_PIE,EMISIONES_CO2_COMPLETA,EMISIONES_CO2_CON_MISSING_PCT,EMISIONES_CO2_IMPUTADA
03,,,HONDA,¡,,¡,¡,,01/02/1990,01/02/1990,0,0,N,PERSONA FISICA,1,50,MOTOCICLETAS,,,,B00,,103,272,,,74,"1,46",,0,,,,,SIN DISTINTIVO,,,,,,,2,2,,,,91.264
03,03047,,SEAT,¡,5P,¡,¡,01,14/03/2007,14/03/2007,0,0,N,PERSONA FISICA,1,40,TURISMOS,M1,10,02,B00,,1444,2064,1519,2064,1896,"12,89","77,00",1,,0,,,DISTINTIVO B,EURO 4,,,0,0,0,5,5,0,,,19.383
03,,,VOLVO,C30,M,¡,¡,31,22/02/2007,22/02/2007,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,N,1204,1700,1279,1700,1596,"11,63","74,00",0,,0,,,DISTINTIVO C,EURO 4,,,0,0,0,4,4,0,,,21.757
03,03066,,MERCEDES-BENZ,A 150,169,X33FK2,¡,05,29/09/2006,29/09/2006,0,3,N,PERSONA JURIDICA,1,40,TURISMOS,,10,00,B00,N,1195,1740,1270,1740,1498,"11,20","70,00",0,,0,,,DISTINTIVO C,EURO 4,,,0,0,0,5,5,0,,,25.647
03,03066,,PEUGEOT,¡,,¡,¡,,29/08/1997,29/08/1997,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,,835,1315,0,0,1124,"9,42","0,00",0,,0,,,SIN DISTINTIVO,EURO 2,,,0,0,0,5,5,0,,,32.555
03,03089,ND,¡,¡,¡,¡,¡,31,21/12/2017,21/12/2017,0,1,N,PERSONA FISICA,1,50,MOTOCICLETAS,L3E,04,00,B00,N,90,250,100,250,125,"1,45","5,00",0,,0,000000,M,DISTINTIVO C,EURO 4,"0,000",,1335,0,0,2,2,0,0.0,0.0,0.0
03,03066,HYUNDAI MOTOR MANUFACTURING CZECH,HYUNDAI,I 30,GDH,¡,¡,01,07/06/2016,07/06/2016,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,N,1420,1920,1364,1920,1582,"11,57","81,00",1,,0,000000,M,DISTINTIVO C,EURO 6,"99,000",AB,2650,1555,1563,5,5,0,99.0,99.0,99.0
03,03005,,MAN,¡,,¡,¡,01,18/07/2003,18/07/2003,0,3,N,PERSONA JURIDICA,1,09,CAMIONES,N3,22,18,A00,,13315,26000,0,0,11967,"45,82","0,00",1,,0,,,SIN DISTINTIVO,EURO III,,,0,0,0,2,2,0,,,-3.476
03,03066,,BETA,¡,¡,¡,¡,01,14/09/2004,14/09/2004,6,3,N,PERSONA FISICA,1,90,CICLOMOTORES,L1E,03,00,B00,,96,280,96,283,49,"2,10","0,00",0,,0,,,DISTINTIVO B,EURO II,,,0,0,0,2,2,0,,,-0.463
03,03089,,RENAULT,CLIO,,,,01,05/02/2004,05/02/2004,0,0,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,,900,1440,0,0,1149,"9,54","0,00",0,,0,,,DISTINTIVO B,EURO 3,,,0,0,0,5,5,0,,,15.87
03,03066,,RENAULT,¡,K,¡,¡,28,28/08/2007,28/08/2007,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,N,1950,2655,2025,2655,1995,"13,29","127,00",1,,0,,,DISTINTIVO B,EURO 4,,,0,0,0,7,7,0,,,21.306
03,03047,,FORD,¡,,¡,¡,,24/07/2000,24/07/2000,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,,1380,2005,0,0,1753,"12,30","0,00",1,,0,,,SIN DISTINTIVO,EURO 2,,,0,0,0,5,5,0,,,39.309
03,03047,,PIAGGIO,VESPA LX 125,M44,¡,¡,28,02/04/2008,02/04/2008,0,3,N,PERSONA FISICA,1,50,MOTOCICLETAS,L3e,04,00,B00,N,120,300,120,0,124,"1,44","7,65",0,,0,,,DISTINTIVO C,EURO III,,,0,0,0,2,2,0,,,1.145
03,03047,,CHEVROLET,¡,¡,¡,¡,01,31/07/2008,31/07/2008,0,1,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,,795,1270,870,1270,796,"6,83","38,00",0,,0,,,DISTINTIVO C,EURO 4,,,0,0,0,5,5,0,,,18.214
03,03066,,DERBI,¡,,¡,¡,01,06/02/2004,06/02/2004,0,0,N,PERSONA FISICA,1,50,MOTOCICLETAS,L3e,04,00,B00,,123,295,0,0,124,"1,44","0,00",0,,0,,,SIN DISTINTIVO,EURO I,,,0,0,0,2,2,0,,,3.879
03,03047,,VOLKSWAGEN,¡,,¡,¡,,10/09/1997,10/09/1997,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,,900,0,0,0,1570,"11,52","0,00",1,,0,,,SIN DISTINTIVO,EURO 2,,,0,0,0,5,5,0,,,28.524
03,03066,,VOLKSWAGEN,GOLF 1.6,1K,ABBSEX0,FM5,48,19/04/2006,19/04/2006,0,3,N,PERSONA JURIDICA,1,40,TURISMOS,M1,10,00,B00,N,1208,1800,1283,1800,1595,"11,63","75,00",0,,0,,,DISTINTIVO C,EURO 4,,,0,0,0,5,5,0,,,22.84
03,03066,,BMW,¡,¡,¡,¡,40,10/07/2007,10/07/2007,0,3,N,PERSONA FISICA,1,50,MOTOCICLETAS,L3e,04,00,B00,,282,520,282,0,1157,"9,59","112,00",0,,0,,,DISTINTIVO C,EURO III,,,0,0,0,2,2,0,,,37.505
03,03047,,FORD,¡,¡,¡,¡,48,30/06/2010,30/06/2010,0,3,N,PERSONA FISICA,1,40,TURISMOS,M1,10,00,B00,N,1509,2060,1584,2060,1997,"13,30","0,00",1,,0,,,DISTINTIVO B,EURO 4,"156,000",,0,0,0,5,5,0,156.0,,132.331
03,03047,,MONTESA,¡,,¡,¡,,21/01/1978,21/01/1978,0,0,N,PERSONA FISICA,1,50,MOTOCICLETAS,,,,B00,,77,240,,,74,"1,40",,0,,,,,SIN DISTINTIVO,,,,,,,2,2,,,,85.409
