grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
YP125R,139,63.430215827338124,15.995296478271484,47.457204892824016,48.580849856781526,-29.4872952812809,74.81797795234709
GRAND VITARA,123,188.0650406504065,152.27308654785156,35.791960181259526,78.4061902738035,-0.27273037673522693,19.03169247058154
DEFENDER,157,226.59783439490445,204.27427673339844,24.788386954532307,33.44768003371836,0.8008838478111027,10.939375047747468
WRANGLER,118,216.3050847457627,204.1260528564453,22.65726076546362,30.44231653162474,-0.1870764202063957,10.474677833900278
WRANGLER UNLIMITED,195,184.48717948717947,165.3160858154297,21.827681164863783,29.39500774059778,0.8352956833277367,11.831543647389681
CAPTIVA,146,184.1986301369863,178.87261962890625,18.034380142002888,21.407273051157535,-0.353330187435132,9.79072435478534
SPRINTER,1063,226.91728127939794,216.2278289794922,17.409638571106704,32.522627657384454,-0.11449600568756835,7.672240066048837
FREELANDER 2,148,175.39864864864865,186.84616088867188,16.977432457176416,18.775285567717045,-0.5155841284994216,9.679340512585654
MASTER,1225,215.91510204081632,210.29786682128906,16.83227620650311,30.06242256791407,0.3016047155752426,7.795784568752008
DJANGO,104,66.32692307692308,52.01594924926758,16.575618443122274,51.928515251315424,-0.7800176310660292,24.990784547473417
RODIUS,139,209.41007194244605,193.30226135253906,16.107814651599032,20.442277062938473,-0.46343841565952437,7.691996140484628
FORESTER,188,164.31914893617022,155.6058807373047,14.550067739283785,16.760894072912034,-0.2904580198663551,8.854760892740359
35S16,273,221.51021978021978,217.9372100830078,14.498029071961568,20.61005604554222,0.49140671465852326,6.545083602168048
MEGANE GR SCENIC,156,122.22435897435898,131.25234985351562,14.466486466236603,17.42716079089339,0.15382827904394247,11.83600927640903
INSIGNIA SPORTS TOURER,115,121.5304347826087,126.77281951904297,13.884458458941916,16.67118357712807,0.490362061529631,11.4246760359067
FUSION,152,151.93421052631578,138.7210693359375,13.246058112696597,13.593801415409072,-1.8368172833003302,8.71828541235768
YP400R,167,95.29488622754492,82.99164581298828,13.196740475409044,27.75540341588262,-0.4987248427148354,13.848319671527701
NISSAN QASHQAI+2,199,158.36180904522612,148.86558532714844,12.794869619398261,18.08889740512047,0.4487244627353607,8.079517212223946
MOVANO,141,207.13475177304966,202.82418823242188,12.625400191503214,17.3909959157076,0.08640926196897292,6.095259285769886
B 180,121,143.45454545454547,135.14141845703125,12.594345092773438,17.688921049154867,-0.6263165495649199,8.779328011439024
JIMNY,224,163.78125,152.55517578125,12.420120103018624,17.812868067460602,-1.083432791323479,7.58335896387323
AK 550,126,115.71428571428571,103.37477111816406,12.339529794359963,12.395116042158477,-93.10382729037683,10.66379118031108
TOYOTA PRIUS,109,93.70642201834862,90.69902801513672,12.240651751876971,76.61190328233599,0.004536917060152912,13.062767191644703
GRAND DINK 125,195,75.0,63.01026153564453,11.98974355061849,13.724886027422775,0.0,15.986324734157986
XP530D-A  (TMAX DX),110,122.0,110.03539276123047,11.964600996537643,12.049918920655799,0.0,9.807049997162002
KOLEOS,301,160.6013289036545,151.7825927734375,11.915426691505203,16.462412680266006,0.08384799741081572,7.41925784353461
TOUAREG,228,198.57894736842104,199.95713806152344,11.891878629985609,15.36628517374179,0.7612061179237747,5.988489106009186
MULTIVAN,480,178.54375,176.47747802734375,11.805709926287333,17.758491285770845,0.8938042476345339,6.612222453201154
VIVARO,204,184.16176470588235,176.92803955078125,11.765468896604052,14.807762706331358,0.7660065401240905,6.388659945452971
INSIGNIA,315,133.26031746031745,136.1482696533203,11.62160387796069,15.940441475522158,0.5002969192829693,8.72097868251094
Q8,104,205.45192307692307,198.51510620117188,11.484216690063477,13.710884694351563,0.6319904037489579,5.589734336905517
MACAN,152,200.82894736842104,192.95559692382812,11.453455172087017,16.832899799543227,0.5946613613017009,5.7030897797196705
C5,164,144.5487804878049,145.30162048339844,11.394360402735268,18.182986988566537,-0.6405702344273039,7.882709466162928
C 220 CDI,322,133.88198757763976,140.6551513671875,11.244286341696792,13.722873776061519,0.31353168882144333,8.398655073130055
JS50,184,91.66847826086956,81.0076904296875,11.135205393252166,12.431349119455021,-3.0351883462903304,12.147256728276508
FIAT DUCATO,831,191.63548736462093,192.26788330078125,11.053180189442548,19.322190457538465,0.5903552644198895,5.767814897671791
MAZDA CX-60,102,85.25490196078431,93.94290924072266,11.03874730128868,14.119217312456723,0.9251199344136302,12.947932667104938
NISSAN NAVARA,184,186.0326086956522,192.7150115966797,10.852714538574219,12.939220175652716,0.7507608591025962,5.83377001197095
5008,151,136.31655629139073,128.90399169921875,10.719682130118871,18.069704523247868,0.12381028063978528,7.8638152413448905
JAECOO7,112,174.45535714285714,164.52847290039062,10.708618981497628,11.799809689214346,-1.051951973629199,6.138314785443136
Q7,289,181.61937716262975,183.37872314453125,10.51094501323766,15.255216926698537,0.8055585222170756,5.787347791544131
A4 ALLROAD QUATTRO,115,148.24347826086955,138.95309448242188,10.392198048467222,11.93350607171066,0.3498405455143555,7.010222756767543
TRANSIT,1009,200.46184340931615,195.7161102294922,10.3538961306554,20.081193350497507,0.5654293594168613,5.165020910994087
VITO,313,191.33546325878595,189.25161743164062,10.30459448476188,13.397277103843107,-0.026825398815135237,5.385616607217587
RANGER,796,222.16959798994975,222.33616638183594,10.270501745406108,12.701232507734002,0.9340197831773522,4.622820511144244
QASHQAI+2,284,156.7394366197183,150.4039764404297,10.202535427791972,17.91950879907807,0.1801874442993786,6.509233188419195
¡,245427,129.8285640495952,126.04646301269531,10.167857109507612,25.53045956477617,0.7621542898276625,7.8317565814125745
XC90,395,159.0506329113924,158.50318908691406,10.048849863945684,17.164825532312843,0.8677235434577937,6.31801941306573
A5,125,148.88,144.17933654785156,10.026458435058593,13.95325463948504,0.6136865705255337,6.734590566267191
MEGANE SCENIC,853,124.38452520515827,121.73512268066406,9.687251306782015,14.173038593498072,0.5490384446818923,7.788148317328048
KORANDO,242,160.31888429752064,155.6632843017578,9.58547942863023,13.568533240751458,0.22530024287632255,5.979008318721483
KTM 350 EXC-F,105,82.9829238095238,73.86396789550781,9.578343094017393,10.87621285752264,-2.037654752989948,11.542547134158829
CR-V,470,143.53191489361703,138.0127716064453,9.548122698195437,12.48667146059715,0.7955826325412269,6.652264554034769
TALENTO,148,164.11486486486487,170.18081665039062,9.542040644465265,11.839280640227297,0.5458144215040465,5.814245194865409
CRAFTER,758,215.77176781002638,210.9757537841797,9.495482170487456,16.002483103769734,0.5704938269919173,4.40070648114059
MAZDA MX-5,134,150.29850746268656,140.81202697753906,9.486481737734666,10.865009140406798,-1.1586189809573604,6.31176044119387
INSIGNIA LIMOUSINE HB,819,108.6959706959707,113.06961822509766,9.48518330593831,11.822566136592622,0.14798714187359463,8.726343069761942
MERIVA,430,137.15116279069767,131.9787139892578,9.484301970725836,12.841544931753525,0.41602497900253754,6.91521805411125
COOPER S,198,136.95959595959596,145.12002563476562,9.476203995521622,10.887944006505194,-0.10221293009142474,6.918977767952214
207 1.4,100,144.25,136.75094604492188,9.426256141662599,19.313021586736575,-28.63200022321771,6.534666302712373
TRANSPORTER,601,181.39234608985026,178.4357147216797,9.392176224745054,13.346050414484893,0.5214456802397399,5.1778238868429245
3008,184,126.94021739130434,122.11241149902344,9.30702371182649,12.216240709058958,0.6754590273095356,7.331816427520975
CUPRA ATECA,115,183.04347826086956,182.05224609375,9.306976981784986,9.69672924517293,0.6663336096397723,5.08457174776852
SANTA FE,298,159.5771812080537,158.78665161132812,9.277531207807913,14.098725842852808,0.82724912432152,5.813820708934596
PROACE,752,161.3284574468085,159.98171997070312,9.15272485448959,11.086196531433746,0.7860296188478415,5.673348025104206
XSARA PICASSO,146,130.23287671232876,121.11103057861328,9.121834558983371,14.680512774533998,-82.22409560997328,7.004248688395773
NC750XD,153,81.66013071895425,90.72279357910156,9.062672484154795,9.3329210397495,-346.71552607033794,11.098038178931356
NISSAN NV400,153,204.2549019607843,200.99456787109375,9.047896341560714,11.285705539687559,0.44074785533991123,4.429708298162584
AUDI A4,389,136.5578406169666,139.16741943359375,9.042450363041503,10.748323613372458,0.7104766910246516,6.62169987617542
MEGANE COUPE,156,127.73717948717949,126.47686004638672,9.023704651074532,11.565453078298543,0.7876229866394797,7.064274228773157
I40,458,118.20524017467248,122.09640502929688,9.000637604159559,11.476958624240096,0.14193072733769052,7.614415055423322
MAZDA 6,314,127.42038216560509,134.24749755859375,8.978051811266857,10.565828576682424,0.5863379332133741,7.046009169552095
C 200,127,140.78740157480314,142.5090789794922,8.967698585330032,10.11364269030484,0.06391515740543774,6.36967405110131
TOYOTA LAND CRUISER (1,525,216.6304761904762,214.7654266357422,8.946275751023066,10.256486676285112,0.8407269899463795,4.129740149376255
